arcgis_10_6_reference_landscape_bottom.mxd
element,position x,position y,height,width
legend, 241.5613, 63.0948, 7.8824, 22.7377
map_no, 400.0, 287.0, 5.0, 14.0
map_version, 410.0, 287.0, 5.0, 7.5
vertical_divide4, 280.0, 10.0, 60.0, 0.0
vertical_divide5, 340.0, 10.0, 60.0, 0.0
glide_no, 365.5, 52.5, 4.0, 44.5
glide_no_label, 342.5, 52.5, 4.0, 22.5
spatial_reference, 365.5, 60.0, 4.0, 44.5
spatial_reference_label, 342.5, 58.5, 7.0, 22.5
mxd_name, 430.0, 55.0, 4.0, 44.5
map_name_label, 430.0, 60.0, 4.0, 22.5
create_date_time, 365.5, 70.0, 4.0, 44.5
create_date_time_label, 342.5, 70.0, 4.0, 22.5
horizontal_divide1, 282.5, 50.0, 0.0, 55.0
donor_credit, 342.5, 37.5, 7.0, 67.5
disclaimer, 342.5, 10.0, 10.0, 67.5
map_producer, 342.5, 47.5, 7.0, 67.5
scale, 310.0, 52.5, 3.153, 25.1038
scale_bar, 309.4, 61.2, 8.0207, 51.1586
vertical_divide3, 217.0, 10.0, 60.0, 0.0
vertical_divide2, 148.5, 10.0, 60.0, 0.0
country, 10.0, 50.0, 8.0, 65.0
title, 10.0, 10.0, 27.5, 67.5
mapaction_logo, 10.0, 70.0, 20.0, 49.2
vertical_divide1, 80.0, 10.0, 60.0, 0.0
data_sources, 282.5, 47.5, 37.5, 55.0
north_arrow, 405.0, 85.0, 10.0000215983, 4.9
Location Map, 182.75, 40.0, 60.0, 60.0
Main map, 15.0, 75.0, 207.0, 395.0
summary, 82.5, 70.0, 60.0, 63.5
working_space, 10.0, 10.0, 277.0, 400.0

arcgis_10_6_reference_landscape_side.mxd
element,position x,position y,height,width
Legend, 394.181, 273.0588, 7.8824, 22.7377
glide_no, 33.0, 40.0, 4.0, 37.0
glide_no_label, 10.0, 40.0, 4.0, 22.5
spatial_reference, 33.0, 45.5, 4.0, 37.0
spatial_reference_label, 10.0, 44.0, 7.0, 22.5
Scale Text, 53.5214, 85.0, 3.153, 16.4786
scale_label, 10.0, 85.0, 3.153, 31.531
horizontal_divide5, 10.0, 57.5, 0.0, 60.0
horizontal_divide4, 10.0, 82.5, 0.0, 60.0
scale_bar, 40.0, 98.0, 8.0441, 48.6993
mxd_name, -47.0, 42.5, 4.0, 37.0
mxd_name_label, -10.0, 47.5, 4.0, 22.5
create_date_time, 33.0, 51.0, 4.0, 37.0
create_date_time_label, 10.0, 51.0, 4.0, 22.5
donor_credit, 10.0, 21.0, 10.5, 60.0
disclaimer, 10.0, 20.0, 10.0, 60.0
map_producer, 10.0, 33.0, 7.0, 60.0
Location Map, 40.0, 132.25, 58.0, 58.0
country, 10.0, 265.0, 8.0, 60.0
data_sources, 10.0, 60.0, 20.0, 60.0
organisation_logo, 10.0, 287.0, 20.0, 49.2
map_no, 400.0, 287.0, 5.0, 14.0
map_version, 410.0, 287.0, 5.0, 7.5
horizontal_divide1, 10.0, 217.3236, 0.0, 60.0
horizontal_divide2, 10.0, 163.5, 0.0, 60.0
horizontal_divide3, 10.0, 101.0, 0.0, 60.0
title, 10.0, 220.0, 33.0, 60.0
north_arrow, 405.0, 20.0, 10.0000215983, 4.9
Main Map, 75.0, 15.0, 267.0, 335.0
summary, 10.0, 166.0, 49.0, 60.0
working_space, 10.0, 10.0, 277.0, 400.0

arcgis_10_6_reference_portrait_bottom.mxd
element,position x,position y,height,width
legend, 271.181, 391.0588, 7.8824, 22.7377
scale, 287.0, 57.5, 3.153, 14.909
scale_label, 219.5, 57.5, 3.153, 31.531
horizontal_divide1, 82.5, 29.0, 0.0, 63.5
map_no, 277.0, 410.0, 5.0, 14.0
map_version, 287.0, 405.0, 5.0, 7.5
vertical_divide3, 217.0, 10.0, 60.0, 0.0
vertical_divide2, 148.5, 10.0, 60.0, 0.0
vertical_divide1, 80.0, 10.0, 60.0, 0.0
title, 10.0, 10.0, 27.5, 65.0
organisation_logo, 10.0, 70.0, 20.0, 49.2
country, 10.0, 50.0, 8.0, 65.0
glide_no, 242.5, 40.0, 4.0, 44.5
glide_no_label, 219.5, 40.0, 4.0, 22.5
spatial_reference, 242.5, 45.5, 4.0, 44.5
spatial_reference_label, 219.5, 44.0, 7.0, 22.5
mxd_name, 302.0, 42.4951, 4.0, 44.5
mxd_name_label, 302.0, 47.5, 4.0, 22.5
timezone, 300.0, 51.0, 5.0, 17.5
create_date_time, 242.5, 51.0, 4.0, 44.5
create_date_time_label, 219.5, 51.0, 4.0, 22.5
horizontal_divide2, 287.0, 56.3086, 0.0, 67.5
donor_credit, 219.5, 31.0, 10.5, 67.5
disclaimer, 219.5, 10.0, 10.0, 67.5
map_producer, 219.5, 32.0, 7.0, 67.5
data_sources, 82.5, 10.0, 16.5, 63.5
Location Map, 212.75, 70.0, 60.0, 60.0
scale_bar, 257.1476, 61.4097, 8.0604, 50.8028
north_arrow, 282.0, 82.5, 10.0, 4.9
Main Map, 15.0, 75.0, 330.0, 272.0
summary, 82.5, 70.0, 40.0, 63.5
working_space, 10.0, 10.0, 400.0, 277.0

arcgis_10_6_thematic_landscape.mxd
element,position x,position y,height,width
summary_label, -18.0, 18.9271, 0.472899999999, 2.0704
data_sources_label, -18.0, 12.5271, 0.472900000001, 2.8468
map_no, -12.0, 10.6, 0.5, 1.44290547685
map_no_label, -18.0, 10.6271, 0.472899999999, 2.7047
mxd_name, -12.0, 9.5, 0.5, 4.27754282089
mxd_name_label, -18.0, 9.5271, 0.472900000001, 3.1279
spatial_reference, -12.0, 8.5, 0.5, 1.5670331994
spatial_reference_label, -18.0, 8.5271, 0.472900000001, 3.8338
scale, -12.0, 7.5, 0.5, 4.08817931909
scale_label, -18.0, 7.5271, 0.472900000001, 1.2473
timezone, -12.0, 6.5, 0.5, 2.32607316557
time_zone_label, -18.0, 6.5272, 0.472899999999, 2.2502
map_producer, -12.0, 4.9, 1.1, 10.0
map_producer_label, -18.0, 5.5271, 0.472900000001, 2.9638
donor_credit_label, -18.0, 4.0271, 0.472900000001, 2.6576
title, 1.0, 28.0, 0.7, 36.0
data_sources, -12.0, 11.6, 1.4, 10.0
summary, -12.0, 19.4, 3.2, 10.3
disclaimer, -18.0, 1.0, 1.0, 16.0
glide_no, -12.0, 2.5, 0.5, 5.59758934235
glide_no_label, -18.0, 2.5271, 0.472900000001, 2.8695
donor_credit, -12.0, 3.4, 1.1, 10.0
unused_map_elements, -17.7946, 26.9467, 1.7533, 15.5893
unused_elements, -19.0, 0.0, 29.7, 18.0
source_production_info, 41.0, 1.0, 1.0, 6.5273
title, 1.0, 28.0, 0.7, 10.0
north_arrow, 1.95, 2.25, 1.1616, 0.5692
single_division_scale_bar, 1.0, 1.0, 1.1031, 2.4691
legend, 41.0, 2.0, 0.5518, 1.7561
organisation_logo, 41.0, 28.7, 1.5, 3.69
Main Map, 1.0, 1.0, 27.7, 40.0

arcgis_10_6_thematic_portrait.mxd
element,position x,position y,height,width
map_no, 27.7086, 41.4148, 0.5001, 1.4003
map_version, 28.7088, 40.9147, 0.5001, 0.7502
title, 1.0, 40.3, 0.7, 23.7
title, 1.0, 41.0, 0.7, 10.0
summary_label, -15.0727, 24.9313, 0.6687, 2.9273
data_sources_label, -13.975, 17.8, 0.6687, 4.025
map_no, -12.0, 16.4, 0.6687, 1.9295
map_no_label, -14.1758, 16.4, 0.6687, 3.8242
mxd_name, -12.0, 15.4, 0.6687, 5.7201
mxd_name_label, -13.5775, 15.4, 0.6687, 4.4225
spatial_reference, -12.0, 14.4, 0.6687, 2.0955
spatial_reference_label, -18.0, 14.4, 0.6687, 5.4205
scale, -12.0, 13.4, 0.6687, 5.467
scale_label, -18.0, 13.4, 0.6687, 1.7635
timezone, -12.0, 12.4, 0.6687, 3.1105
time_zone_label, -14.8185, 12.4, 0.6687, 3.1815
map_producer, -12.0, 11.0, 1.1, 10.0
map_producer_label, -13.8096, 11.0, 0.6687, 4.1904
donor_credit_label, -14.2424, 9.5, 0.6687, 3.7576
data_sources, -12.0, 17.8, 1.3737, 9.9915
summary, -12.0, 22.4, 3.2, 10.4
disclaimer, -1.9999, 7.15, 0.9999, 16.0001
glide_no, -12.0, 8.4, 0.6687, 7.4854
glide_no_label, -13.9428, 8.4, 0.6687, 4.0572
donor_credit, -12.0, 9.5, 1.1, 10.0
unused_map_elements, -2.2052, 33.0967, 1.7534, 15.5895
unused_elements, -1.0, 6.15, 29.7, 17.9999
north_arrow, 1.8375, 2.25, 0.8396, 0.4172
single_division_scale_bar, 1.0, 1.0, 0.954100000001, 1.6749
source_production_info, 27.6012, 0.7472, 1.0, 6.5
legend, 27.5591, 2.0, 0.5518, 1.7561
