Template,Element,PositionX,PositionY,Height,Width
arcgis_10_6_reference_landscape_bottom.mxd, mapaction_logo, 1.0, 5.0, 2.0, 4.92
arcgis_10_6_reference_landscape_bottom.mxd, country, 1.0, 4.2, 0.799999999999, 5.5
arcgis_10_6_reference_landscape_bottom.mxd, summary, -7.0, 1.0, 4.0, 6.35
arcgis_10_6_reference_landscape_bottom.mxd, title, 1.0, 1.0, 2.75, 5.5
arcgis_10_6_reference_landscape_bottom.mxd, data_sources, 7.3, 1.0, 0.5, 14.8
arcgis_10_6_reference_landscape_bottom.mxd, legend_jpg, 9.25, 2.0, 5.0, 10.8824
arcgis_10_6_reference_landscape_bottom.mxd, Location map, 22.7, 1.0, 6.0, 11.5
arcgis_10_6_reference_landscape_bottom.mxd, scale_bar, 35.19, 6.1729, 0.806700000001, 1.6749
arcgis_10_6_reference_landscape_bottom.mxd, scale, 36.6448, 5.75, 0.3153, 2.5104
arcgis_10_6_reference_landscape_bottom.mxd, create_date_time_label, 34.8, 4.95, 0.4, 2.0
arcgis_10_6_reference_landscape_bottom.mxd, create_date_time, 37.0, 4.95, 0.4, 4.0
arcgis_10_6_reference_landscape_bottom.mxd, spatial_reference_label, 34.8, 4.25, 0.700000000001, 2.0
arcgis_10_6_reference_landscape_bottom.mxd, spatial_reference, 37.0, 4.45, 0.4, 4.0
arcgis_10_6_reference_landscape_bottom.mxd, glide_no_label, 34.8, 3.85, 0.4, 2.0
arcgis_10_6_reference_landscape_bottom.mxd, glide_no, 37.0, 3.85, 0.4, 4.0
arcgis_10_6_reference_landscape_bottom.mxd, map_producer, 34.8, 3.05, 0.700000000001, 6.2
arcgis_10_6_reference_landscape_bottom.mxd, donor_credit, 34.8, 1.9, 1.05, 6.2
arcgis_10_6_reference_landscape_bottom.mxd, disclaimer, 34.8, 1.0, 1.0, 6.2
arcgis_10_6_reference_landscape_bottom.mxd, mxd_name_label, 43.0, 5.3, 0.400000000001, 2.25
arcgis_10_6_reference_landscape_bottom.mxd, mxd_name, 43.0, 4.9, 0.412200000001, 7.5917
arcgis_10_6_reference_landscape_bottom.mxd, timezone, 43.0, 4.5, 0.3153, 1.451
arcgis_10_6_reference_landscape_bottom.mxd, legend, 43.0, 7.0, 0.788200000001, 2.2738
arcgis_10_6_reference_landscape_bottom.mxd, map_no, 38.6, 28.2, 0.5, 1.4
arcgis_10_6_reference_landscape_bottom.mxd, map_version, 40.25, 28.2, 0.5, 0.75
arcgis_10_6_reference_landscape_bottom.mxd, map_name, 43.0, 5.7, 0.412199999999, 7.5917
arcgis_10_6_reference_landscape_bottom.mxd, map_name_label, 43.0, 6.1, 0.4, 2.25
arcgis_10_6_reference_landscape_bottom.mxd, horizontal_divide2, 34.8, 5.5, 0.0351999999984, 6.2
arcgis_10_6_reference_landscape_bottom.mxd, vertical_divide3, 34.5, 1.0, 6.0, 0.0351999999984
arcgis_10_6_reference_landscape_bottom.mxd, north_arrow, 2.0, 8.0, 1.0, 0.49
arcgis_10_6_reference_landscape_bottom.mxd, horizontal_divide1, 7.3, 1.7, 0.0, 14.8
arcgis_10_6_reference_landscape_bottom.mxd, vertical_divide1, 7.0, 1.0, 6.0, 0.0
arcgis_10_6_reference_landscape_bottom.mxd, Main map, 1.5, 7.5, 20.7, 39.5
