MapName	Type	ElementName	PositionX	PositionY	Height	Width	FontSize	TextValue		
arcmap-10.6_reference_landscape_bottom.mxd	access	TEXT_ELEMENT	-130	177	8	110	12	Access		
arcmap-10.6_reference_landscape_bottom.mxd	access_note_label	TEXT_ELEMENT	-180	167	8	40	12	Access note:		
arcmap-10.6_reference_landscape_bottom.mxd	country	TEXT_ELEMENT	60	278	9	290	18	Country: Emergency name		
arcmap-10.6_reference_landscape_bottom.mxd	create_date_time	TEXT_ELEMENT	365	60.5	4.5	45	10	1 Jan 2016 / 12:00		
arcmap-10.6_reference_landscape_bottom.mxd	create_date_time_label	TEXT_ELEMENT	340	60.5	4.5	25	10	Created		
arcmap-10.6_reference_landscape_bottom.mxd	data_sources	TEXT_ELEMENT	270	31	17	65	10	GADM		
arcmap-10.6_reference_landscape_bottom.mxd	disclaimer	TEXT_ELEMENT	270	10	15	65	9	The depiction and use of boundaries	 names and associated data shown here do not imply endorsement or acceptance by MapAction.	
arcmap-10.6_reference_landscape_bottom.mxd	doc_name	TEXT_ELEMENT	-130	110	8	110	12	(doc_name) without MA part		
arcmap-10.6_reference_landscape_bottom.mxd	donor_credit	TEXT_ELEMENT	340	10	15	68.5	9	Supported by DFID and the Hans K Rausing Trust		
arcmap-10.6_reference_landscape_bottom.mxd	glide_no	TEXT_ELEMENT	365	40	4.5	45	10	EP-2020-000012-LBY		
arcmap-10.6_reference_landscape_bottom.mxd	glide_no_label	TEXT_ELEMENT	340	40	4.5	25	10	GLIDE Number		
arcmap-10.6_reference_landscape_bottom.mxd	horizontal_divide1	GRAPHIC_ELEMENT	270	50	0	65				
arcmap-10.6_reference_landscape_bottom.mxd	language	TEXT_ELEMENT	-130	120	8	110	12	English		
arcmap-10.6_reference_landscape_bottom.mxd	language_label	TEXT_ELEMENT	-180	120	8	40	12	Language:		
arcmap-10.6_reference_landscape_bottom.mxd	language_label	TEXT_ELEMENT	-180	177	8	40	12	Access:		
arcmap-10.6_reference_landscape_bottom.mxd	legend	LEGEND_ELEMENT	198.8543	11.494	7.6309	53.3577				
arcmap-10.6_reference_landscape_bottom.mxd	legend_text	TEXT_ELEMENT	197.5	10	55	67.5	16	insert legend (jpg)                      located: 317_Legends                      currently off page		
arcmap-10.6_reference_landscape_bottom.mxd	Location map	DATAFRAME_ELEMENT	15	10	55	110				
arcmap-10.6_reference_landscape_bottom.mxd	Main map	DATAFRAME_ELEMENT	15	70	200	395				
arcmap-10.6_reference_landscape_bottom.mxd	map_document_label	TEXT_ELEMENT	-180	110	8	40	12	Map document:		
arcmap-10.6_reference_landscape_bottom.mxd	map_no	TEXT_ELEMENT	387.5	282	5	25	12	MA010 v01		
arcmap-10.6_reference_landscape_bottom.mxd	map_producer	TEXT_ELEMENT	340	26	11	50	9	Produced by MapAction https://mapaction.org		
arcmap-10.6_reference_landscape_bottom.mxd	mapaction_logo	PICTURE_ELEMENT	15	272	15	36.9				
arcmap-10.6_reference_landscape_bottom.mxd	north_arrow	MAPSURROUND_ELEMENT	400.1	75	10.0000216	4.9				
arcmap-10.6_reference_landscape_bottom.mxd	qr_code	PICTURE_ELEMENT	365	272	15	15				
arcmap-10.6_reference_landscape_bottom.mxd	qr_text	TEXT_ELEMENT	387.5	272	10	22.5	11	Scan for latest maps		
arcmap-10.6_reference_landscape_bottom.mxd	quality_control	TEXT_ELEMENT	-130	157	8	110	12	Local		
arcmap-10.6_reference_landscape_bottom.mxd	quality_control_label	TEXT_ELEMENT	-180	157	8	40	12	Quality control:		
arcmap-10.6_reference_landscape_bottom.mxd	scale	TEXT_ELEMENT	-130	90	8	110	12	01:05	0	0
arcmap-10.6_reference_landscape_bottom.mxd	scale_bar	MAPSURROUND_ELEMENT	290	55	9.7452	30				
