Template,Element,PositionX,PositionY,Height,Width
arcgis_10_6_reference_landscape_bottom.mxd, country,10,42,8,55
arcgis_10_6_reference_landscape_bottom.mxd, create_date_time,370,49.5,4,40
arcgis_10_6_reference_landscape_bottom.mxd, create_date_time_label,348,49.5,4,20
arcgis_10_6_reference_landscape_bottom.mxd, data_sources,73,10,5,148
arcgis_10_6_reference_landscape_bottom.mxd, disclaimer,348,10,10,62
arcgis_10_6_reference_landscape_bottom.mxd, donor_credit,348,19,10.5,62
arcgis_10_6_reference_landscape_bottom.mxd, glide_no,370,38.5,4,40
arcgis_10_6_reference_landscape_bottom.mxd, glide_no_label,368,38.5,4,20
arcgis_10_6_reference_landscape_bottom.mxd, horizontal_divide1,73,17,0,148
arcgis_10_6_reference_landscape_bottom.mxd, horizontal_divide2,348,55,0.3528,62
arcgis_10_6_reference_landscape_bottom.mxd, legend,430,70,7.8824,22.7377
arcgis_10_6_reference_landscape_bottom.mxd, legend_jpg,92.5,20,50,108.8237399
arcgis_10_6_reference_landscape_bottom.mxd, Location map,227,10,60,115
arcgis_10_6_reference_landscape_bottom.mxd, Main map,15,75,207,395
arcgis_10_6_reference_landscape_bottom.mxd, map_name,430,57,4.1216,75.9171
arcgis_10_6_reference_landscape_bottom.mxd, map_name_label,430,61,4,22.5
arcgis_10_6_reference_landscape_bottom.mxd, map_no,386,282,5,14
arcgis_10_6_reference_landscape_bottom.mxd, map_producer,348,30.5,7,62
arcgis_10_6_reference_landscape_bottom.mxd, map_version,402.5,282,5,7.5
arcgis_10_6_reference_landscape_bottom.mxd, mapaction_logo,10,50,20,49.2
arcgis_10_6_reference_landscape_bottom.mxd, mxd_name,430,49,4.1216,75.9171
arcgis_10_6_reference_landscape_bottom.mxd, mxd_name_label,430,53,4,22.5
arcgis_10_6_reference_landscape_bottom.mxd, north_arrow,20,80,10,4.9
arcgis_10_6_reference_landscape_bottom.mxd, scale,366.4481,57.5,3.153,25.1038
arcgis_10_6_reference_landscape_bottom.mxd, scale_bar,351.9004,61.7292,7.992,16.7493
arcgis_10_6_reference_landscape_bottom.mxd, spatial_reference,370,44.5,4,40
arcgis_10_6_reference_landscape_bottom.mxd, spatial_reference_label,348,42.5,7,20
arcgis_10_6_reference_landscape_bottom.mxd, summary,-70,10,60,63.5
arcgis_10_6_reference_landscape_bottom.mxd, timezone,430,45,3.153,14.5108
arcgis_10_6_reference_landscape_bottom.mxd, title,10,10,27.5,55
arcgis_10_6_reference_landscape_bottom.mxd, vertical_divide1,70,10,60,0
arcgis_10_6_reference_landscape_bottom.mxd, vertical_divide2,224,10,60,0.3528
arcgis_10_6_reference_landscape_bottom.mxd, vertical_divide3,345,10,60,0.3528
arcgis_10_6_reference_landscape_bottom.mxd, working_space,10,10,277,400
,,,,,
arcgis_10_6_reference_landscape_side.mxd, country,1,25.7,0.8,6.2
arcgis_10_6_reference_landscape_side.mxd, create_date_time,3.3,5.1,0.4,4
arcgis_10_6_reference_landscape_side.mxd, create_date_time_label,1,5.1,0.4,2.25
arcgis_10_6_reference_landscape_side.mxd, data_sources,1,6.1,0.7,6.2
arcgis_10_6_reference_landscape_side.mxd, disclaimer,1,1,1,6.2
arcgis_10_6_reference_landscape_side.mxd, donor_credit,1,1.9,1.05,6.2
arcgis_10_6_reference_landscape_side.mxd, glide_no,3.3,4,0.4,4
arcgis_10_6_reference_landscape_side.mxd, glide_no_label,1,4,0.4,2.25
arcgis_10_6_reference_landscape_side.mxd, horizontal_divide1,1,22.35,0.0352,6.2
arcgis_10_6_reference_landscape_side.mxd, horizontal_divide2,1,14.6,0.0352,6.2
arcgis_10_6_reference_landscape_side.mxd, horizontal_divide3,1,9,0.0352,6.2
arcgis_10_6_reference_landscape_side.mxd, horizontal_divide4,1,7.1,0.0352,6.2
arcgis_10_6_reference_landscape_side.mxd, horizontal_divide5,1,5.8,0.0352,6.2
arcgis_10_6_reference_landscape_side.mxd, legend,43,3.5,0.7882,2.2738
arcgis_10_6_reference_landscape_side.mxd, legend_jpg,1,16.05,4.8162,6.2
arcgis_10_6_reference_landscape_side.mxd, Location map,1,9.3,5,6.2
arcgis_10_6_reference_landscape_side.mxd, Main map,7.7,1.5,26.7,33.3
arcgis_10_6_reference_landscape_side.mxd, map_name,43,2.2,0.4122,7.5917
arcgis_10_6_reference_landscape_side.mxd, map_name_label,43,2.6,0.4,2.25
arcgis_10_6_reference_landscape_side.mxd, map_no,38.6,28.2,0.5,1.4
arcgis_10_6_reference_landscape_side.mxd, map_producer,1,3.05,0.7,6.2
arcgis_10_6_reference_landscape_side.mxd, map_version,40.25,28.2,0.5,0.75
arcgis_10_6_reference_landscape_side.mxd, mapaction_logo,1,26.7,2,4.92
arcgis_10_6_reference_landscape_side.mxd, mxd_name,43,1.4,0.4122,7.5917
arcgis_10_6_reference_landscape_side.mxd, mxd_name_label,43,1.8,0.4,2.25
arcgis_10_6_reference_landscape_side.mxd, north_arrow,40,2,1,0.49
arcgis_10_6_reference_landscape_side.mxd, scale,2.8462,7.384,0.3153,2.275
arcgis_10_6_reference_landscape_side.mxd, scale_bar,2.1993,7.9,0.8145,3.928
arcgis_10_6_reference_landscape_side.mxd, spatial_reference,3.3,4.55,0.4,4
arcgis_10_6_reference_landscape_side.mxd, spatial_reference_label,1,4.4,0.7,2.25
arcgis_10_6_reference_landscape_side.mxd, summary,-7,16.6,4.9,6
arcgis_10_6_reference_landscape_side.mxd, timezone,43,1,0.3153,1.451
arcgis_10_6_reference_landscape_side.mxd, title,1,22.65,2.75,6.2
arcgis_10_6_reference_landscape_side.mxd, working_space,0.9678,1,27.7,40
,,,,,
arcgis_10_6_reference_portrait_bottom.mxd, country,10,42,8,55
arcgis_10_6_reference_portrait_bottom.mxd, create_date_time,247,49.5,4,40
arcgis_10_6_reference_portrait_bottom.mxd, create_date_time_label,225,49.5,4,20
arcgis_10_6_reference_portrait_bottom.mxd, data_sources,73,10,5,90
arcgis_10_6_reference_portrait_bottom.mxd, disclaimer,225,10,10,62
arcgis_10_6_reference_portrait_bottom.mxd, donor_credit,225,19,10.5,62
arcgis_10_6_reference_portrait_bottom.mxd, glide_no,247,38.5,4,40
arcgis_10_6_reference_portrait_bottom.mxd, glide_no_label,225,38.5,4,20
arcgis_10_6_reference_portrait_bottom.mxd, horizontal_divide1,73,17,0,90
arcgis_10_6_reference_portrait_bottom.mxd, horizontal_divide2,225,55,0,62
arcgis_10_6_reference_portrait_bottom.mxd, legend,307.0003,45.3535,7.882,22.738
arcgis_10_6_reference_portrait_bottom.mxd, legend_jpg,73,25,40.0893325,90
arcgis_10_6_reference_portrait_bottom.mxd, Location map,169,10,60,50
arcgis_10_6_reference_portrait_bottom.mxd, Main map,15,75,330,272
arcgis_10_6_reference_portrait_bottom.mxd, map_name,307.0003,26.9697,4.122,75.917
arcgis_10_6_reference_portrait_bottom.mxd, map_name_label,307.0003,32.6263,4,22.5
arcgis_10_6_reference_portrait_bottom.mxd, map_no,263,405,5,14
arcgis_10_6_reference_portrait_bottom.mxd, map_producer,225,30.5,7,62
