Template,Element,PositionX,PositionY,Height,Width
arcgis_10_6_reference_landscape_bottom.mxd, legend, 241.5613, 63.0948, 7.8824, 22.7377
arcgis_10_6_reference_landscape_bottom.mxd, map_no, 400.0, 287.0, 5.0, 14.0
arcgis_10_6_reference_landscape_bottom.mxd, map_version, 410.0, 287.0, 5.0, 7.5
arcgis_10_6_reference_landscape_bottom.mxd, vertical_divide4, 280.0, 10.0, 60.0, 0.0
arcgis_10_6_reference_landscape_bottom.mxd, vertical_divide5, 340.0, 10.0, 60.0, 0.0
arcgis_10_6_reference_landscape_bottom.mxd, glide_no, 365.5, 52.5, 4.0, 44.5
arcgis_10_6_reference_landscape_bottom.mxd, glide_no_label, 342.5, 52.5, 4.0, 22.5
arcgis_10_6_reference_landscape_bottom.mxd, spatial_reference, 365.5, 60.0, 4.0, 44.5
arcgis_10_6_reference_landscape_bottom.mxd, spatial_reference_label, 342.5, 58.5, 7.0, 22.5
arcgis_10_6_reference_landscape_bottom.mxd, mxd_name, 430.0, 55.0, 4.0, 44.5
arcgis_10_6_reference_landscape_bottom.mxd, map_name_label, 430.0, 60.0, 4.0, 22.5
arcgis_10_6_reference_landscape_bottom.mxd, create_date_time, 365.5, 70.0, 4.0, 44.5
arcgis_10_6_reference_landscape_bottom.mxd, create_date_time_label, 342.5, 70.0, 4.0, 22.5
arcgis_10_6_reference_landscape_bottom.mxd, horizontal_divide1, 282.5, 50.0, 0.0, 55.0
arcgis_10_6_reference_landscape_bottom.mxd, donor_credit, 342.5, 37.5, 7.0, 67.5
arcgis_10_6_reference_landscape_bottom.mxd, disclaimer, 342.5, 10.0, 10.0, 67.5
arcgis_10_6_reference_landscape_bottom.mxd, map_producer, 342.5, 47.5, 7.0, 67.5
arcgis_10_6_reference_landscape_bottom.mxd, scale, 310.0, 52.5, 3.153, 25.1038
arcgis_10_6_reference_landscape_bottom.mxd, scale_bar, 309.4, 61.2, 8.0207, 51.1586
arcgis_10_6_reference_landscape_bottom.mxd, vertical_divide3, 217.0, 10.0, 60.0, 0.0
arcgis_10_6_reference_landscape_bottom.mxd, vertical_divide2, 148.5, 10.0, 60.0, 0.0
arcgis_10_6_reference_landscape_bottom.mxd, country, 10.0, 50.0, 8.0, 65.0
arcgis_10_6_reference_landscape_bottom.mxd, title, 10.0, 10.0, 27.5, 67.5
arcgis_10_6_reference_landscape_bottom.mxd, mapaction_logo, 10.0, 70.0, 20.0, 49.2
arcgis_10_6_reference_landscape_bottom.mxd, vertical_divide1, 80.0, 10.0, 60.0, 0.0
arcgis_10_6_reference_landscape_bottom.mxd, data_sources, 282.5, 47.5, 37.5, 55.0
arcgis_10_6_reference_landscape_bottom.mxd, north_arrow, 405.0, 85.0, 10.0000215983, 4.9
arcgis_10_6_reference_landscape_bottom.mxd, Location Map, 182.75, 40.0, 60.0, 60.0
arcgis_10_6_reference_landscape_bottom.mxd, Main map, 15.0, 75.0, 207.0, 395.0
arcgis_10_6_reference_landscape_bottom.mxd, summary, 82.5, 70.0, 60.0, 63.5
arcgis_10_6_reference_landscape_bottom.mxd, working_space, 10.0, 10.0, 277.0, 400.0

arcgis_10_6_reference_landscape_side.mxd, Legend, 394.181, 273.0588, 7.8824, 22.7377
arcgis_10_6_reference_landscape_side.mxd, glide_no, 33.0, 40.0, 4.0, 37.0
arcgis_10_6_reference_landscape_side.mxd, glide_no_label, 10.0, 40.0, 4.0, 22.5
arcgis_10_6_reference_landscape_side.mxd, spatial_reference, 33.0, 45.5, 4.0, 37.0
arcgis_10_6_reference_landscape_side.mxd, spatial_reference_label, 10.0, 44.0, 7.0, 22.5
arcgis_10_6_reference_landscape_side.mxd, Scale Text, 53.5214, 85.0, 3.153, 16.4786
arcgis_10_6_reference_landscape_side.mxd, scale_label, 10.0, 85.0, 3.153, 31.531
